CPU Usage: 4.6%
Memory Usage: 70.8%
MeuModulo(
   (layer1): Linear(input_dim=50, output_dim=100, bias=True)
   (sigmoid1): Sigmoid()
   (layer2): Linear(input_dim=100, output_dim=2, bias=True)
   (sigmoid2): Sigmoid()
)
1.28607177734375
         847289 function calls (839027 primitive calls) in 2.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    197/1    0.004    0.000    2.505    2.505 {built-in method builtins.exec}
        1    0.001    0.001    2.505    2.505 test.py:2(<module>)
       30    0.087    0.003    1.272    0.042 tensor.py:137(backward)
        1    0.000    0.000    1.001    1.001 __init__.py:1692(cpu_percent)
        1    1.001    1.001    1.001    1.001 {built-in method time.sleep}
    30049    0.348    0.000    0.406    0.000 tensor.py:307(__mul__)
       18    0.001    0.000    0.350    0.019 __init__.py:1(<module>)
     2235    0.006    0.000    0.311    0.000 functions.py:36(backward)
     1800    0.005    0.000    0.300    0.000 functions.py:104(backward)
    23409    0.183    0.000    0.224    0.000 tensor.py:211(__add__)
    197/5    0.001    0.000    0.191    0.038 <frozen importlib._bootstrap>:986(_find_and_load)
    197/5    0.001    0.000    0.191    0.038 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    186/5    0.001    0.000    0.190    0.038 <frozen importlib._bootstrap>:650(_load_unlocked)
    144/5    0.001    0.000    0.190    0.038 <frozen importlib._bootstrap_external>:842(exec_module)
    291/5    0.000    0.000    0.188    0.038 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     5340    0.159    0.000    0.183    0.000 tensor.py:543(transpose)
   217/25    0.001    0.000    0.169    0.007 <frozen importlib._bootstrap>:1017(_handle_fromlist)
   384/12    0.001    0.000    0.168    0.014 {built-in method builtins.__import__}
     2265    0.009    0.000    0.152    0.000 functions.py:52(backward)
     4530    0.128    0.000    0.135    0.000 tensor.py:356(__matmul__)
     1860    0.103    0.000    0.107    0.000 tensor.py:486(__rtruediv__)
     6904    0.005    0.000    0.082    0.000 functions.py:22(backward)
    76045    0.065    0.000    0.076    0.000 tensor.py:19(__init__)
     3045    0.005    0.000    0.056    0.000 functions.py:29(backward)
     1950    0.014    0.000    0.044    0.000 tensor.py:259(__sub__)
      144    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:914(get_code)
     2205    0.002    0.000    0.034    0.000 functions.py:14(backward)
     3930    0.002    0.000    0.033    0.000 tensor.py:347(__rmul__)
     2265    0.001    0.000    0.032    0.000 tensor.py:350(__neg__)
     3660    0.023    0.000    0.031    0.000 tensor.py:429(__rpow__)
        1    0.000    0.000    0.030    0.030 multiarray.py:1(<module>)
        1    0.000    0.000    0.029    0.029 overrides.py:1(<module>)
  186/184    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      194    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.024    0.024 test.py:80(__init__)
      144    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        2    0.000    0.000    0.024    0.012 linear.py:5(__init__)
        4    0.000    0.000    0.024    0.006 parameter.py:9(__init__)
      144    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
      177    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      177    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
        1    0.000    0.000    0.020    0.020 __init__.py:7(<module>)
   198565    0.019    0.000    0.019    0.000 {built-in method _ctypes.POINTER}
   130694    0.019    0.000    0.019    0.000 {built-in method builtins.isinstance}
       23    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
       23    0.014    0.001    0.019    0.001 {built-in method _imp.create_dynamic}
      331    0.005    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     4440    0.018    0.000    0.018    0.000 functions.py:92(__init__)
        1    0.001    0.001    0.016    0.016 core.py:1(<module>)
     1800    0.012    0.000    0.015    0.000 tensor.py:448(__truediv__)
        1    0.000    0.000    0.015    0.015 _pickle.py:1(<module>)
  294/292    0.007    0.000    0.015    0.000 {built-in method builtins.__build_class__}
     1890    0.012    0.000    0.015    0.000 tensor.py:74(ones_like)
      314    0.002    0.000    0.014    0.000 overrides.py:170(decorator)
    23/18    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1172(exec_module)
    23/18    0.003    0.000    0.013    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.013    0.013 py3k.py:1(<module>)
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
       36    0.000    0.000    0.012    0.000 tensor.py:57(flatten)
  5626/36    0.009    0.000    0.012    0.000 tensor.py:58(flatten_recursively)
    23469    0.011    0.000    0.011    0.000 functions.py:4(__init__)
      870    0.001    0.000    0.011    0.000 functions.py:97(backward)
    208/4    0.001    0.000    0.011    0.003 utils.py:5(generate_random_list)
        4    0.000    0.000    0.011    0.003 utils.py:16(<listcomp>)
        1    0.000    0.000    0.011    0.011 index_tricks.py:1(<module>)
      204    0.004    0.000    0.010    0.000 utils.py:14(<listcomp>)
    71451    0.010    0.000    0.010    0.000 {method 'copy' of 'list' objects}
      153    0.000    0.000    0.010    0.000 re.py:289(_compile)
       31    0.000    0.000    0.009    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.009    0.009 inspect.py:1(<module>)
       28    0.000    0.000    0.009    0.000 re.py:250(compile)
      144    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
        2    0.000    0.000    0.009    0.004 shape_base.py:1(<module>)
    14685    0.009    0.000    0.009    0.000 functions.py:26(__init__)
      284    0.002    0.000    0.008    0.000 overrides.py:88(verify_matching_signatures)
       30    0.001    0.000    0.007    0.000 sgd.py:11(step)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
      960    0.005    0.000    0.007    0.000 tensor.py:410(__pow__)
       51    0.003    0.000    0.007    0.000 __init__.py:313(namedtuple)
        1    0.001    0.001    0.007    0.007 fromnumeric.py:1(<module>)
      755    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      186    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.006    0.006 _pslinux.py:5(<module>)
        1    0.000    0.000    0.006    0.006 _common.py:5(<module>)
     5302    0.005    0.000    0.006    0.000 random.py:415(uniform)
      618    0.001    0.000    0.006    0.000 _inspect.py:96(getargspec)
      759    0.006    0.000    0.006    0.000 {built-in method posix.stat}
    13440    0.006    0.000    0.006    0.000 functions.py:18(__init__)
        1    0.000    0.000    0.006    0.006 defmatrix.py:1(<module>)
     1740    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      317    0.001    0.000    0.005    0.000 function_base.py:483(add_newdoc)
   150/30    0.000    0.000    0.005    0.000 module.py:22(__call__)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
       30    0.000    0.000    0.005    0.000 test.py:88(forward)
      288    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
        1    0.000    0.000    0.005    0.005 tensor.py:1(<module>)
       31    0.000    0.000    0.005    0.000 sre_parse.py:937(parse)
    25735    0.005    0.000    0.005    0.000 {method 'add' of 'set' objects}
    33966    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    62/31    0.000    0.000    0.004    0.000 sre_parse.py:435(_parse_sub)
    65/31    0.002    0.000    0.004    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.004    0.004 secrets.py:1(<module>)
        1    0.000    0.000    0.004    0.004 linalg.py:1(<module>)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
      385    0.002    0.000    0.004    0.000 functools.py:34(update_wrapper)
       31    0.000    0.000    0.004    0.000 sre_compile.py:598(_code)
      347    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       14    0.000    0.000    0.004    0.000 core.py:115(doc_note)
      144    0.004    0.000    0.004    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.004    0.004 linecache.py:1(<module>)
        7    0.000    0.000    0.004    0.001 enum.py:483(_convert_)
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
      465    0.003    0.000    0.004    0.000 tensor.py:507(log)
      311    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:376(cached)
      614    0.003    0.000    0.004    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.004    0.004 extras.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
      144    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.003    0.003 version.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:4(<module>)
       79    0.000    0.000    0.003    0.000 enum.py:313(__call__)
      167    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        1    0.000    0.000    0.003    0.003 tokenize.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        9    0.000    0.000    0.003    0.000 enum.py:430(_create_)
       28    0.002    0.000    0.003    0.000 inspect.py:625(cleandoc)
        2    0.000    0.000    0.003    0.002 polynomial.py:1(<module>)
   118/31    0.001    0.000    0.003    0.000 sre_compile.py:71(_compile)
