CMDLINE /usr/bin/python3 train_singlegpu.py
MEM 1.171875 1717615399.9716
MEM 18.777344 1717615400.0720
MEM 25.433594 1717615400.1725
MEM 30.570312 1717615400.2729
MEM 36.207031 1717615400.3734
MEM 40.167969 1717615400.4738
MEM 46.121094 1717615400.5743
MEM 56.503906 1717615400.6747
MEM 63.429688 1717615400.7751
MEM 70.007812 1717615400.8755
MEM 84.187500 1717615400.9758
MEM 98.109375 1717615401.0761
MEM 140.132812 1717615401.1765
MEM 125.375000 1717615401.2769
MEM 125.632812 1717615401.3772
MEM 126.433594 1717615401.4775
MEM 127.203125 1717615401.5778
MEM 127.203125 1717615401.6781
MEM 127.316406 1717615401.7785
MEM 127.316406 1717615401.8787
MEM 134.515625 1717615401.9790
MEM 134.773438 1717615402.0793
MEM 136.054688 1717615402.1796
MEM 140.953125 1717615402.2799
MEM 140.953125 1717615402.3802
MEM 146.867188 1717615402.4805
MEM 147.125000 1717615402.5809
MEM 153.562500 1717615402.6813
MEM 154.335938 1717615402.7817
MEM 154.335938 1717615402.8820
MEM 154.335938 1717615402.9825
MEM 154.335938 1717615403.0828
MEM 154.335938 1717615403.1832
MEM 154.335938 1717615403.2836
MEM 161.039062 1717615403.3839
MEM 161.812500 1717615403.4842
MEM 162.328125 1717615403.5845
MEM 169.273438 1717615403.6848
MEM 169.531250 1717615403.7852
MEM 176.992188 1717615403.8855
MEM 176.992188 1717615403.9857
MEM 184.449219 1717615404.0860
MEM 184.449219 1717615404.1863
MEM 186.488281 1717615404.2866
MEM 191.898438 1717615404.3869
MEM 192.156250 1717615404.4872
MEM 199.632812 1717615404.5875
MEM 199.632812 1717615404.6878
MEM 207.109375 1717615404.7881
MEM 207.109375 1717615404.8884
MEM 213.296875 1717615404.9887
MEM 214.761719 1717615405.0890
MEM 214.957031 1717615405.1894
MEM 222.171875 1717615405.2897
MEM 222.429688 1717615405.3900
MEM 229.648438 1717615405.4903
MEM 229.906250 1717615405.5906
MEM 236.093750 1717615405.6910
MEM 237.382812 1717615405.7913
MEM 237.898438 1717615405.8916
MEM 244.859375 1717615405.9919
